RANK,TEAM,RECORD,"PLAYERS
ACTIVE","AVG AGE
TEAM","TOTAL CAP
ALLOCATIONS","CAP SPACE
ALL","ACTIVE
53-MAN","RESERVES
IR/PUP/NFI/SUSP","DEAD
CAP"
1,CLE,7-10-0,53,25.5,"$186,513,983","$31,186,017","$132,199,512","$16,565,851","$35,989,120"
2,CAR,7-10-0,53,26.2,"$202,249,051","$11,106,983","$128,149,331","$19,578,244","$52,457,843"
3,NYJ,7-10-0,54,26.4,"$202,470,545","$8,529,455","$153,295,451","$33,842,715","$13,760,179"
4,DEN,5-12-0,53,26.3,"$211,456,385","$8,143,615","$108,893,408","$67,116,043","$34,641,934"
5,LV,6-11-0,53,26.2,"$199,666,719","$7,333,281","$122,209,751","$25,793,138","$49,550,430"
6,IND,4-12-1,53,26.0,"$205,811,217","$7,088,783","$147,156,772","$40,761,551","$16,051,894"
7,ATL,7-10-0,53,26.1,"$201,717,487","$6,942,849","$94,499,866","$21,702,897","$83,599,124"
8,DAL,12-5-0,52,26.5,"$213,614,884","$6,685,116","$159,958,858","$18,688,275","$32,734,451"
9,SF,13-4-0,53,26.8,"$206,082,457","$6,417,543","$162,291,139","$18,879,035","$22,250,183"
10,WAS,8-8-1,53,26.0,"$208,068,247","$5,931,753","$160,094,196","$23,252,370","$22,383,281"
11,CHI,3-14-0,53,26.1,"$204,696,905","$5,203,095","$78,766,986","$30,646,446","$93,289,973"
12,PHI,14-3-0,53,26.5,"$219,445,581","$4,954,419","$145,718,346","$7,238,058","$64,487,877"
13,PIT,9-8-0,53,26.2,"$210,658,592","$4,541,408","$158,603,136","$13,161,363","$36,520,393"
14,MIA,9-8-0,53,26.7,"$208,559,442","$4,040,558","$149,787,507","$38,149,986","$18,486,649"
15,LAC,10-7-0,53,26.1,"$212,129,671","$3,670,329","$175,316,296","$23,676,219","$11,074,256"
16,GB,8-9-0,53,26.2,"$211,847,657","$3,552,343","$162,533,410","$16,455,765","$30,661,982"
17,KC,14-3-0,53,26.1,"$205,249,141","$3,350,859","$181,434,543","$5,217,280","$16,397,118"
18,DET,9-8-0,53,25.5,"$214,423,875","$3,276,125","$157,043,784","$20,522,793","$34,960,598"
19,NYG,9-7-1,53,25.9,"$203,667,109","$2,932,891","$133,245,725","$14,742,873","$53,752,511"
20,TB,8-9-0,53,27.2,"$202,960,773","$2,839,227","$158,812,989","$16,147,220","$25,565,164"
21,JAX,9-8-0,51,25.9,"$231,233,180","$2,719,175","$159,988,522","$33,889,632","$34,849,526"
22,ARI,4-13-0,52,27.3,"$204,825,664","$2,674,336","$98,153,785","$79,550,165","$25,839,514"
23,NE,8-9-0,53,26.9,"$208,004,554","$2,195,446","$161,125,235","$25,985,134","$18,589,785"
24,CIN,12-4-0,54,25.5,"$210,200,068","$1,999,932","$175,096,752","$16,929,797","$15,804,219"
25,BUF,13-3-0,53,26.9,"$206,691,460","$1,908,540","$163,264,230","$15,141,716","$25,249,314"
26,SEA,9-8-0,53,26.7,"$215,796,566","$1,403,434","$120,909,675","$35,451,072","$57,370,519"
27,HOU,3-13-1,52,26.8,"$212,666,643","$1,333,357","$113,791,851","$18,731,282","$77,919,210"
28,TEN,7-10-0,51,26.2,"$209,793,874","$1,106,126","$78,943,246","$104,725,799","$24,813,429"
29,MIN,13-4-0,54,26.2,"$208,790,359","$1,009,641","$162,760,165","$15,575,169","$28,089,925"
30,LAR,5-12-0,54,25.9,"$200,270,156","$829,844","$113,511,363","$58,353,159","$26,653,334"
31,BAL,10-7-0,53,26.2,"$204,617,520","$382,480","$160,177,579","$15,768,186","$26,720,389"
32,NO,7-10-0,54,27.2,"$206,828,041","-$828,041","$131,357,406","$29,762,067","$43,937,668"
