RANK,TEAM,RECORD,"PLAYERS
ACTIVE","AVG AGE
TEAM","TOTAL CAP
ALLOCATIONS","CAP SPACE
ALL","ACTIVE
53-MAN","RESERVES
IR/PUP/NFI/SUSP","DEAD
CAP"
1,JAX,3-14-0,58,25.5,"$180,473,269","$28,496,887","$126,905,443","$29,358,361","$23,625,065"
2,PHI,9-8-0,62,25.3,"$189,181,452","$17,817,323","$101,610,988","$22,982,139","$63,769,525"
3,DEN,7-10-0,55,25.8,"$188,343,846","$12,465,470","$107,269,390","$43,515,363","$37,144,693"
4,PIT,9-7-1,53,25.8,"$175,907,130","$11,542,925","$124,164,123","$20,351,790","$30,380,017"
5,SEA,7-10-0,57,26.4,"$172,703,125","$11,228,110","$137,955,994","$19,983,486","$13,921,645"
6,CLE,8-9-0,56,25.6,"$202,643,673","$9,266,018","$126,473,899","$46,545,095","$29,003,079"
7,LAC,9-8-0,53,26.5,"$183,047,309","$8,683,218","$159,785,508","$16,228,955","$6,203,246"
8,HOU,4-13-0,56,26.8,"$186,825,534","$7,643,225","$115,736,939","$22,643,248","$48,012,147"
9,WAS,7-10-0,56,25.7,"$193,566,718","$6,172,203","$108,019,140","$62,442,393","$22,258,385"
10,TEN,12-5-0,56,27.0,"$184,416,734","$6,128,963","$141,092,116","$11,214,566","$30,830,452"
11,DAL,12-5-0,57,26.3,"$203,890,461","$6,072,058","$166,195,180","$10,017,026","$27,047,455"
12,NE,10-7-0,59,27.0,"$200,573,159","$5,239,388","$147,576,468","$18,877,570","$33,592,321"
13,NYJ,4-13-0,55,25.4,"$205,736,640","$4,861,174","$88,174,985","$79,238,768","$35,850,220"
14,GB,13-4-0,58,26.1,"$181,317,830","$4,856,188","$162,492,766","$6,802,181","$10,739,283"
15,CAR,5-12-0,56,25.8,"$181,771,931","$4,745,701","$96,749,377","$30,685,691","$53,966,463"
16,CIN,10-7-0,61,26.0,"$191,286,587","$3,851,688","$154,339,838","$17,685,584","$18,929,965"
17,IND,9-8-0,57,26.3,"$187,317,746","$3,717,651","$170,696,313","$8,862,253","$6,736,780"
18,KC,12-5-0,54,26.4,"$185,112,146","$3,320,964","$160,366,274","$6,035,101","$17,790,771"
19,NYG,4-13-0,49,26.1,"$182,521,051","$2,972,804","$121,896,505","$40,829,531","$19,015,015"
20,LAR,12-5-0,54,25.9,"$184,237,455","$2,861,686","$121,817,079","$11,982,361","$49,435,215"
21,MIA,9-8-0,55,25.9,"$195,163,942","$2,019,904","$149,454,584","$20,371,008","$24,429,950"
22,CHI,6-11-0,53,27.4,"$188,749,384","$1,383,458","$128,620,134","$33,066,901","$26,298,749"
23,DET,3-13-1,56,25.0,"$196,592,545","$1,134,882","$76,519,893","$52,394,859","$67,101,393"
24,TB,13-4-0,57,27.6,"$181,119,199","$931,909","$149,094,323","$19,333,000","$11,189,876"
25,ARI,11-6-0,56,27.3,"$191,127,625","$913,352","$153,976,241","$20,408,331","$15,710,653"
26,SF,10-7-0,55,26.9,"$195,101,014","$662,008","$138,172,427","$32,186,465","$23,504,522"
27,LV,10-7-0,54,26.4,"$189,930,974","$296,100","$129,494,524","$22,935,487","$36,524,563"
28,BAL,8-9-0,56,27.1,"$182,781,957","$265,482","$113,199,729","$49,218,097","$19,685,331"
29,NO,9-8-0,54,26.7,"$185,310,258","$180,246","$107,680,541","$28,080,568","$49,107,949"
30,ATL,7-10-0,55,26.7,"$185,499,791","-$493,883","$141,096,481","$13,098,200","$30,323,910"
31,MIN,8-9-0,56,26.0,"$188,620,675","-$1,346,576","$118,144,787","$44,293,641","$25,570,247"
32,BUF,11-6-0,55,26.5,"$190,107,479","-$1,730,520","$165,564,312","$10,985,000","$9,888,567"
