RANK,TEAM,RECORD,"PLAYERS
ACTIVE","AVG AGE
TEAM","TOTAL CAP
ALLOCATIONS","CAP SPACE
ALL","ACTIVE
53-MAN","RESERVES
IR/PUP/NFI/SUSP","DEAD
CAP"
1,SF,6-11-0,53,26.9,"$246,996,749","$50,467,685","$138,201,567","$76,435,422","$30,442,060"
2,CLE,3-14-0,53,26.8,"$248,708,856","$42,043,123","$130,535,406","$74,269,905","$42,497,245"
3,NE,4-13-0,53,26.1,"$229,603,859","$36,456,118","$130,005,536","$32,289,751","$60,985,272"
4,LV,4-13-0,53,25.6,"$226,100,229","$35,897,151","$111,412,545","$62,367,394","$50,307,790"
5,DAL,7-10-0,53,26.4,"$226,297,350","$34,167,685","$97,500,830","$96,826,306","$29,661,014"
6,WAS,12-5-0,53,27.5,"$240,632,456","$24,017,815","$186,228,005","$4,436,939","$47,227,012"
7,DET,15-2-0,52,26.9,"$234,434,840","$23,638,724","$151,659,745","$41,395,684","$39,256,611"
8,MIA,8-9-0,53,27.3,"$238,318,281","$18,415,532","$138,344,211","$39,966,893","$58,059,677"
9,JAX,4-13-0,53,25.9,"$252,087,967","$16,949,079","$142,873,539","$52,907,841","$53,636,487"
10,GB,11-6-0,52,25.2,"$251,586,978","$16,128,199","$154,542,400","$29,678,165","$64,574,213"
11,TEN,3-14-0,53,26.4,"$245,174,700","$15,492,667","$142,042,127","$33,772,989","$67,461,884"
12,ARI,8-9-0,53,26.0,"$257,613,921","$12,889,040","$164,908,720","$58,529,723","$32,162,678"
13,IND,8-9-0,53,26.3,"$250,316,091","$10,423,917","$199,356,329","$32,881,659","$15,608,803"
14,MIN,14-3-0,52,27.3,"$252,563,267","$10,173,975","$164,432,512","$15,353,571","$70,382,084"
15,PIT,10-7-0,51,27.6,"$247,812,491","$9,927,701","$182,613,866","$31,872,753","$30,733,672"
16,PHI,14-3-0,53,25.7,"$250,867,000","$9,366,359","$168,537,310","$16,316,779","$63,634,011"
17,TB,10-7-0,53,25.9,"$244,479,945","$8,459,981","$139,250,589","$40,305,885","$62,499,171"
18,SEA,10-7-0,52,26.1,"$253,363,041","$8,131,185","$170,968,666","$22,353,591","$58,377,484"
19,CHI,5-12-0,53,26.5,"$253,659,481","$6,479,742","$204,948,258","$15,922,790","$30,383,725"
20,ATL,8-9-0,53,27.2,"$253,560,025","$6,461,421","$219,836,480","$16,084,779","$15,187,366"
21,DEN,10-7-0,52,26.1,"$252,139,493","$6,100,773","$150,535,729","$9,699,102","$89,083,362"
22,CIN,9-8-0,52,25.6,"$259,321,826","$6,093,862","$185,741,962","$58,054,838","$13,021,226"
23,HOU,10-7-0,53,26.8,"$253,606,601","$5,762,155","$180,926,822","$28,526,987","$41,631,992"
24,LAC,11-6-0,53,26.6,"$259,842,566","$3,935,185","$183,462,767","$13,004,795","$60,901,604"
25,LAR,10-7-0,53,25.9,"$254,604,834","$3,097,450","$209,446,790","$6,632,094","$35,854,750"
26,NO,5-12-0,53,26.7,"$255,445,276","$2,952,943","$146,456,092","$44,743,154","$62,187,730"
27,NYJ,5-12-0,53,26.9,"$258,488,437","$2,592,821","$156,802,254","$37,125,650","$62,318,333"
28,KC,15-2-0,53,26.5,"$250,025,386","$2,167,701","$220,972,465","$9,560,714","$17,019,007"
29,BAL,12-5-0,54,26.6,"$251,869,610","$1,890,784","$219,432,580","$5,929,914","$23,109,416"
30,NYG,3-14-0,53,26.3,"$258,881,814","$1,520,288","$116,951,522","$57,877,195","$82,521,697"
31,BUF,13-4-0,53,26.9,"$256,067,245","$552,172","$175,108,383","$3,205,258","$75,053,004"
32,CAR,5-12-0,52,27.2,"$261,525,112","-$1,024,039","$147,773,587","$38,983,472","$73,242,553"
