RANK,TEAM,RECORD,"PLAYERS
ACTIVE","AVG AGE
TEAM","TOTAL CAP
ALLOCATIONS","CAP SPACE
ALL","ACTIVE
53-MAN","RESERVES
IR/PUP/NFI/SUSP","DEAD
CAP"
1,IND,7-9-0,53,25.7,"$196,100,572","$41,745,481","$142,403,804","$29,183,425","$24,497,343"
2,CLE,6-10-0,53,25.2,"$212,753,859","$32,328,127","$156,151,812","$24,322,553","$32,279,494"
3,PHI,9-7-0,52,25.9,"$170,362,399","$28,538,697","$118,556,337","$30,019,958","$21,682,104"
4,BUF,10-6-0,53,26.9,"$174,804,987","$25,621,283","$152,820,449","$5,049,084","$16,935,454"
5,KC,12-4-0,53,26.7,"$166,507,002","$23,408,500","$135,179,512","$10,374,764","$20,952,726"
6,MIA,5-11-0,54,25.4,"$175,757,955","$21,380,539","$60,872,168","$47,954,138","$66,915,649"
7,TEN,9-7-0,52,26.1,"$197,086,185","$20,789,952","$152,774,763","$30,452,561","$13,858,861"
8,OAK,7-9-0,51,25.6,"$173,145,802","$19,778,721","$119,270,203","$30,142,965","$23,644,634"
9,DAL,8-8-0,52,26.6,"$182,367,508","$18,360,084","$148,849,800","$23,186,160","$10,331,548"
10,DET,3-12-1,53,25.8,"$176,627,499","$17,783,369","$93,511,403","$67,955,813","$15,128,283"
11,HOU,10-6-0,53,26.6,"$198,106,556","$16,210,695","$145,821,737","$24,906,380","$27,378,439"
12,NYJ,7-9-0,53,26.0,"$188,464,903","$14,024,951","$96,678,757","$64,158,771","$27,627,375"
13,WAS,3-13-0,53,26.0,"$180,627,946","$12,923,089","$78,588,363","$88,601,102","$13,310,481"
14,DEN,7-9-0,52,25.3,"$182,229,585","$12,726,531","$105,297,174","$45,018,931","$31,913,480"
15,CHI,8-8-0,53,26.2,"$182,861,976","$12,031,237","$140,944,391","$31,416,571","$10,501,014"
16,SEA,11-5-0,51,26.2,"$184,894,364","$11,890,797","$131,014,550","$27,463,885","$26,351,929"
17,CIN,2-14-0,52,25.9,"$184,954,951","$11,228,791","$132,358,691","$38,881,625","$13,714,635"
18,JAX,6-10-0,53,25.3,"$190,540,169","$10,868,564","$122,743,628","$31,085,587","$36,694,954"
19,SF,13-3-0,53,26.1,"$220,650,341","$10,581,233","$166,552,577","$28,507,344","$25,590,420"
20,TB,7-9-0,53,26.0,"$184,939,978","$10,019,020","$150,155,466","$23,734,882","$10,905,630"
21,CAR,5-11-0,53,26.4,"$183,306,165","$9,040,974","$117,133,265","$51,486,083","$14,566,817"
22,LAR,9-7-0,53,25.6,"$180,977,365","$8,439,201","$162,333,485","$4,903,862","$13,604,018"
23,NE,12-4-0,53,27.6,"$192,501,047","$7,872,376","$156,633,955","$10,121,912","$25,721,180"
24,ATL,7-9-0,52,26.6,"$184,246,919","$5,492,872","$132,338,075","$33,057,233","$18,699,611"
25,GB,13-3-0,53,26.2,"$191,756,597","$5,328,829","$163,872,581","$9,422,115","$18,461,901"
26,LAC,5-11-0,53,26.4,"$184,097,522","$2,968,982","$155,395,193","$19,686,640","$9,015,689"
27,NO,13-3-0,52,26.7,"$187,888,357","$2,116,308","$153,202,407","$12,640,339","$22,045,611"
28,ARI,5-10-1,53,25.8,"$192,019,927","$1,585,204","$118,348,287","$22,637,474","$50,898,166"
29,NYG,4-12-0,53,25.7,"$194,612,924","$1,492,067","$125,098,384","$14,358,124","$55,156,416"
30,MIN,10-6-0,51,26.1,"$191,016,955","$805,215","$177,166,406","$5,438,754","$8,379,795"
31,PIT,8-8-0,53,25.7,"$206,404,929","$493,991","$129,754,417","$42,210,117","$34,440,395"
32,BAL,14-2-0,53,26.8,"$190,028,527","-$2,323,572","$139,521,776","$20,153,020","$30,289,731"
