RANK,TEAM,RECORD,"PLAYERS
ACTIVE","AVG AGE
TEAM","TOTAL CAP
ALLOCATIONS","CAP SPACE
ALL","ACTIVE
53-MAN","RESERVES
IR/PUP/NFI/SUSP","DEAD
CAP"
1,CLE,11-5-0,52,25.7,"$199,101,772","$29,598,375","$143,629,461","$37,636,988","$17,823,323"
2,DAL,6-10-0,52,25.9,"$191,282,501","$26,454,777","$108,629,975","$56,327,624","$26,324,902"
3,NE,7-9-0,53,26.6,"$185,249,624","$25,407,947","$103,996,819","$51,523,253","$29,729,552"
4,NYJ,2-14-0,53,25.3,"$182,498,749","$24,566,915","$86,529,089","$42,323,265","$53,587,595"
5,JAX,1-15-0,54,25.1,"$184,288,252","$23,369,347","$87,879,404","$41,802,593","$49,890,275"
6,PHI,4-11-1,52,25.8,"$200,593,459","$21,506,475","$140,155,537","$36,683,384","$23,648,938"
7,DEN,5-11-0,53,25.6,"$195,780,141","$18,179,309","$102,374,592","$67,890,159","$25,389,390"
8,WAS,7-9-0,53,26.1,"$193,135,405","$15,959,850","$131,896,856","$29,758,508","$31,222,041"
9,MIA,10-6-0,53,25.4,"$202,755,153","$14,969,340","$156,504,710","$7,149,972","$39,015,271"
10,DET,5-11-0,52,26.8,"$201,274,115","$13,034,055","$136,316,057","$35,530,716","$29,102,142"
11,CIN,4-11-1,54,26.2,"$197,637,354","$10,809,739","$115,462,613","$62,583,496","$19,508,445"
12,IND,11-5-0,53,25.8,"$231,385,518","$8,513,188","$187,851,538","$26,052,725","$17,354,055"
13,CHI,8-8-0,53,26.9,"$204,713,154","$7,811,988","$163,818,846","$23,387,944","$17,053,964"
14,LAR,10-6-0,53,25.7,"$196,611,667","$7,270,935","$153,700,759","$4,444,760","$38,466,148"
15,HOU,4-12-0,55,26.3,"$210,781,361","$7,232,473","$141,313,765","$45,760,200","$23,481,796"
16,BAL,11-5-0,53,26.8,"$190,989,245","$6,920,153","$135,700,177","$32,766,124","$22,407,744"
17,LAC,7-9-0,55,25.5,"$195,831,096","$6,579,352","$134,191,298","$47,294,246","$14,320,352"
18,TEN,11-5-0,50,26.6,"$214,051,508","$6,314,951","$133,056,826","$49,061,672","$31,743,410"
19,PIT,12-4-0,54,26.3,"$194,669,953","$6,026,871","$146,851,577","$33,062,935","$14,551,441"
20,LV,8-8-0,53,26.3,"$214,145,655","$5,860,656","$165,917,480","$37,001,807","$11,226,368"
21,NYG,6-10-0,53,25.9,"$192,619,204","$4,820,488","$149,574,151","$21,703,914","$21,341,139"
22,CAR,5-11-0,53,26.0,"$204,039,300","$4,433,177","$119,293,249","$30,555,813","$54,072,638"
23,TB,11-5-0,54,27.1,"$199,841,623","$4,263,627","$185,308,315","$6,636,768","$7,804,140"
24,KC,14-2-0,51,26.1,"$216,749,367","$4,193,094","$182,730,257","$15,557,500","$18,090,810"
25,GB,13-3-0,52,26.0,"$199,876,795","$4,058,809","$165,749,106","$25,190,627","$8,741,462"
26,SF,6-10-0,55,26.4,"$202,659,073","$4,030,878","$101,109,577","$84,851,447","$16,677,649"
27,NO,12-4-0,53,27.0,"$194,082,268","$3,920,462","$161,365,733","$10,173,995","$22,530,540"
28,BUF,13-3-0,52,26.7,"$218,228,694","$2,648,254","$200,165,512","$5,333,642","$12,669,540"
29,ATL,4-12-0,54,26.7,"$199,335,990","$2,570,690","$166,160,239","$2,808,368","$30,106,983"
30,MIN,7-9-0,52,25.6,"$195,029,407","$2,364,928","$112,701,789","$45,208,660","$36,982,158"
31,ARI,8-8-0,53,26.7,"$194,162,965","$2,364,707","$134,848,837","$42,808,830","$16,289,298"
32,SEA,12-4-0,52,26.6,"$200,893,810","-$1,255,714","$166,465,242","$17,939,400","$16,453,168"
