RANK,TEAM,RECORD,"PLAYERS
ACTIVE","AVG AGE
TEAM","TOTAL CAP
ALLOCATIONS","CAP SPACE
ALL","ACTIVE
53-MAN","RESERVES
IR/PUP/NFI/SUSP","DEAD
CAP"
1,SF,12-5-0,53,26.9,"$199,530,464","$37,989,804","$154,932,685","$9,045,205","$33,313,374"
2,CLE,11-6-0,53,26.9,"$221,895,525","$29,876,309","$136,190,604","$59,731,634","$23,468,987"
3,DAL,12-5-0,53,26.1,"$216,258,627","$16,645,224","$185,500,694","$7,425,402","$20,451,431"
4,WAS,4-13-0,53,26.2,"$219,158,252","$12,093,648","$133,719,895","$36,098,892","$47,623,965"
5,LV,8-9-0,52,26.9,"$223,471,769","$11,529,499","$155,882,148","$7,623,130","$57,853,191"
6,ARI,4-13-0,53,25.6,"$218,131,324","$11,168,217","$107,330,420","$39,445,510","$69,784,194"
7,CIN,9-8-0,53,25.9,"$215,841,995","$10,766,741","$170,878,346","$37,661,299","$4,451,550"
8,TEN,6-11-0,53,26.3,"$221,490,310","$9,408,724","$128,983,277","$32,324,162","$58,841,771"
9,MIN,7-10-0,52,26.5,"$212,737,877","$8,959,126","$122,035,441","$42,572,831","$46,177,305"
10,JAX,9-8-0,53,26.4,"$217,779,453","$8,947,864","$194,030,338","$10,248,599","$10,665,516"
11,GB,9-8-0,53,25.0,"$218,045,716","$8,737,004","$120,689,913","$27,644,641","$67,234,462"
12,IND,9-8-0,52,25.7,"$223,873,320","$8,299,055","$150,648,067","$19,681,463","$51,418,290"
13,LAC,5-12-0,53,26.1,"$218,514,926","$8,006,038","$132,544,014","$56,597,781","$27,385,531"
14,ATL,7-10-0,54,26.4,"$222,639,430","$7,730,237","$163,895,473","$30,465,567","$25,649,790"
15,LAR,10-7-0,52,26.1,"$217,174,558","$7,693,754","$131,880,407","$3,504,814","$79,381,937"
16,SEA,9-8-0,54,26.2,"$214,977,978","$7,127,512","$165,990,770","$23,585,828","$23,397,380"
17,NYG,6-11-0,53,25.8,"$223,438,031","$6,182,522","$129,927,472","$34,906,607","$56,451,152"
18,NYJ,7-10-0,54,26.7,"$222,545,781","$6,034,929","$143,977,333","$48,137,923","$29,031,325"
19,CAR,2-15-0,53,26.9,"$232,771,942","$5,379,990","$136,455,085","$32,384,753","$62,169,404"
20,CHI,7-10-0,52,26.1,"$227,512,044","$4,926,812","$171,087,200","$17,112,076","$36,737,468"
21,HOU,10-7-0,53,27.2,"$226,978,543","$4,441,532","$142,196,787","$34,938,690","$47,419,666"
22,DET,12-5-0,52,26.0,"$223,408,752","$3,800,950","$173,331,167","$15,877,444","$32,092,641"
23,TB,9-8-0,53,25.9,"$223,680,759","$3,752,054","$128,436,935","$11,012,667","$81,574,757"
24,NO,9-8-0,54,27.1,"$220,525,665","$3,635,502","$138,027,290","$44,993,108","$35,175,167"
25,PIT,10-7-0,54,26.4,"$226,300,540","$2,926,605","$194,442,075","$8,498,611","$21,164,554"
26,KC,11-6-0,53,26.0,"$217,621,452","$2,826,341","$194,829,168","$7,838,417","$12,295,967"
27,PHI,11-6-0,53,26.6,"$232,187,112","$2,566,558","$160,037,713","$5,816,176","$63,868,823"
28,MIA,11-6-0,53,27.1,"$223,975,605","$1,735,990","$172,821,528","$28,317,349","$20,351,028"
29,DEN,8-9-0,53,26.3,"$231,774,113","$1,129,738","$173,358,141","$22,447,627","$33,296,145"
30,BAL,13-4-0,53,26.9,"$222,562,171","$1,049,714","$175,622,212","$28,547,661","$15,901,398"
31,NE,4-13-0,53,26.7,"$221,851,422","$528,826","$122,696,951","$66,043,849","$31,235,322"
32,BUF,11-6-0,53,27.0,"$228,637,476","-$792,453","$182,016,009","$33,210,155","$10,167,412"
